篇	第二层地基
/column/into-equation	（未写出）
/column/education-dilemma-2	（未写出）
/column/classroom-kills-meaning	（未写出）
/column/reading-sde-ontology-intro	（未写出）
/column/discovery-vs-genesis-four-masters	（未写出）
/column/enterprise-growth	（未写出）
/column/education-dilemma	（未写出）
/column/face	（未写出）
/column/deconstruction-master	（未写出）
/column/ai-education-cage	（未写出）
/column/no-iq-no-eq	（未写出）
/column/llm-essence	（未写出）
/column/the-sting-of-smoothness	（未写出）
/column/the-sting-of-smoothness/apply-education	（未写出）
/column/the-sting-of-smoothness/apply-health	（未写出）
/column/the-sting-of-smoothness/apply-business	（未写出）
/column/why-old-critical-thinking-fails	（未写出）
/column/measurement-shell	（未写出）
/column/gpt-is-not-here-to-kill-the-university	（未写出）
/column/capability-illusion-institutional-tension	（未写出）
/column/counterfactual-self	（未写出）
/column/counterfactual-self/apply-education	（未写出）
/column/counterfactual-self/apply-health	（未写出）
/column/counterfactual-self/apply-business	（未写出）
/column/power-genesis-2	（未写出）
/column/honesty-exemption	（未写出）
/column/therapeutic-deflection	（未写出）
/column/therapeutic-deflection/practice	（未写出）
/column/welded-connection	（未写出）
/column/welded-connection/apply-education	（未写出）
/column/welded-connection/apply-health	（未写出）
/column/welded-connection/apply-business	（未写出）
/column/education-dilemma-3	（未写出）
/column/exit-cost-trap	（未写出）
/column/exit-cost-trap/apply-education	（未写出）
/column/exit-cost-trap/apply-health	（未写出）
/column/exit-cost-trap/apply-business	（未写出）
/column/grappling-ecology	（未写出）
/column/grappling-ecology/apply-education	（未写出）
/column/grappling-ecology/apply-health	（未写出）
/column/grappling-ecology/apply-business	（未写出）
/column/university-immortal-meaning-undying	（未写出）
/column/tde-stratal-genesis	（未写出）
/column/over-signification	（未写出）
/column/confidence-lock	（未写出）
/column/enterprise-dissolution	（未写出）
/column/three-year-old	（未写出）
/column/palantir-ontology-ceiling	（未写出）
/column/where-genesis-begins	（未写出）
/column/discovery-vs-genesis-education	（未写出）
/column/discovery-vs-genesis-1	（未写出）
/column/why-high-scores-low-creativity	（未写出）
/column/why-high-scores-low-creativity/apply-education	（未写出）
/column/why-high-scores-low-creativity/apply-health	（未写出）
/column/why-high-scores-low-creativity/apply-business	（未写出）
/column/sde-critical-thinking-os	（未写出）
/column/nietzsche-perspective-genesis	（未写出）
/column/llm-and-agent	（未写出）
/column/writing-genesis	（未写出）
/column/rhythm-deprivation	（未写出）
/column/rhythm-deprivation/apply-education	（未写出）
/column/rhythm-deprivation/apply-health	（未写出）
/column/rhythm-deprivation/apply-business	（未写出）
/column/meaningful-system	（未写出）
/column/ubermensch-rope	（未写出）
/column/self-discipline-genesis	（未写出）
/column/self-discipline-genesis/apply-education	（未写出）
/column/self-discipline-genesis/apply-health	（未写出）
